id_estudiante;plan;anio_ingreso;fecha_ingreso;fecha_ultimo_examen;anio_ultima_reinscripcion;promedio_sin_aplazos;promedio_con_aplazos;actividades_aprobadas;total_actividades;regular;calidad;segundo_anio
CB-015914-6;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-015898-1;2007;2020;01/04/2020;23/08/2021;2021.0;6.8;8.0;4;40;S;A;N
CB-015876-0;2007;2020;01/04/2020;23/08/2021;2021.0;6.4;6.4;5;40;S;A;S
CB-015788-7;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015884-1;2007;2020;01/04/2020;18/08/2021;2021.0;7.67;7.67;10;40;S;A;S
CB-015930-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-015952-9;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016040-3;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-016424-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016073-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016411-5;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015958-8;2007;2020;01/04/2020;;2021.0;7.75;7.75;4;40;S;A;N
CB-015943-0;2007;2020;01/04/2020;;2021.0;8.8;8.8;5;40;S;A;S
CB-015921-9;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016079-9;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015032-7;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-016009-8;2007;2020;01/04/2020;18/08/2021;2021.0;6.43;7.17;8;40;S;A;S
CB-016125-6;2007;2020;01/04/2020;23/08/2021;2021.0;7.8;7.8;6;40;S;A;S
CB-015806-9;2007;2020;01/04/2020;18/08/2021;2021.0;9.0;9.0;3;40;S;A;N
CB-016445-0;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015988-0;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-016800-5;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-016417-4;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016083-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016055-1;2007;2020;01/04/2020;20/08/2021;2021.0;5.8;6.88;8;40;S;A;S
CB-015813-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016038-1;2007;2020;01/04/2020;14/12/2020;2021.0;8.0;8.0;3;40;S;A;N
CB-015798-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016495-6;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015954-5;2007;2020;01/04/2020;20/08/2021;2021.0;5.31;6.75;8;40;S;A;S
CB-016016-1;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-016779-3;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015978-2;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016033-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-016511-1;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N
CB-017500-1;2007;2020;01/04/2020;18/08/2021;2021.0;8.13;8.13;10;40;S;A;S
CB-015897-2;2007;2020;01/04/2020;23/08/2021;2021.0;5.33;7.0;9;40;S;A;S
CB-015828-0;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016454-9;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015789-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016121-3;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016019-5;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015815-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015938-3;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-015887-5;2007;2020;01/04/2020;18/08/2021;2021.0;6.33;7.2;7;40;S;A;S
CB-016041-1;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015841-7;2007;2020;01/04/2020;18/08/2021;2021.0;7.33;7.33;5;40;S;A;S
CB-015856-5;2007;2020;01/04/2020;20/08/2021;2021.0;5.25;7.5;2;40;S;A;N
CB-016017-9;2007;2020;01/04/2020;23/08/2021;2021.0;5.23;6.33;14;40;S;A;S
CB-015870-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-016453-1;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016058-6;2007;2020;01/04/2020;;;7.25;7.25;4;40;S;P;N
CB-016790-4;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-016497-2;2007;2020;01/04/2020;;2021.0;7.0;7.0;7;40;S;A;S
CB-015934-1;2007;2020;01/04/2020;;2021.0;8.33;8.33;3;40;S;A;N
CB-016510-3;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016460-3;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-015994-4;2007;2020;01/04/2020;16/03/2021;2021.0;6.5;6.5;2;40;S;A;N
CB-015834-4;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-015973-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015819-1;2007;2020;01/04/2020;;2021.0;6.67;6.67;3;40;S;A;N
CB-016786-6;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016747-5;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-015319-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;3;40;S;A;N
CB-015987-1;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-015927-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016491-3;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016047-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015989-8;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-016042-0;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N
CB-016066-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
